Designator,Mid X,Mid Y,Rotation,Layer
C1,42.325,-117.2,90,top
C2,48.425,-106.7,90,top
C3,75.025,-90.45,90,top
C4,89.625,-81,-90,top
C5,78.425,-78.6,90,top
C6,55.025,-75.9,-90,top
C7,83.625,-82.405113,90,top
C8,76.725,-94.8,-90,top
C9,90.125,-118,90,top
C10,86.625,-118,90,top
C11,54.625,-88,-90,top
C101,57.025,-101.69,-90,top
C102,52.125,-106.7,90,top
C201,51.725,-81.994888,-90,top
C202,60.525,-90.2,-90,top
C203,46.625,-88.4,-90,top
D1,74.325,-108.31,90,top
D2,77.625,-100.69,-90,top
D3,82.125,-100.76,-90,top
D4,82.125,-106.3,-90,top
Q1,73.225,-117.15,-90,top
Q101,62.225,-117.15,-90,top
Q102,67.725,-117.15,-90,top
R1,42.325,-108.01,90,top
R2,45.225,-100.39,-90,top
R3,81.125,-93.11,90,top
R4,90.035,-77.1,180,top
R5,59.525,-83.51,90,top
R6,77.625,-89.41,90,top
R7,92.925,-93.41,90,top
R8,92.925,-111.39,-90,top
R9,83.525,-119.41,90,top
R10,80.725,-111.8,-90,top
R101,47.825,-110.69,-90,top
R102,52.725,-118.32,90,top
R103,50.225,-110.7,-90,top
R104,45.225,-118.31,90,top
R105,55.225,-118.3,90,top
R201,47.125,-75.58,-90,top
R202,44.525,-75.58,-90,top
R203,42.125,-83.21,90,top
RV1,47.405,-96.8,0,top
RV2,88.045,-71.4,0,top
RV3,88.045,-96.8,0,top
RV4,47.405,-71.4,0,top
R_CLR,78.125,-111.79,-90,top
SW1,67.729,-80.9,90,top
SW2,67.729,-106.3,180,top
U1,63.925,-87.4,0,top
